config_id,budget,performance,activation,batch_size,learning_rate,learning_rate_init,n_layer,n_neurons,solver
0,100,0.4718539151965335,logistic,30,constant,1.0,1,8,lbfgs
1,100,0.8881352522438873,logistic,30,constant,1.0,1,8,adam
2,100,0.06788919839059115,logistic,30,constant,1.0,1,1024,lbfgs
3,100,0.4718539151965335,logistic,30,constant,0.0001,1,8,lbfgs
4,100,0.4718539151965335,logistic,300,constant,1.0,1,8,lbfgs
5,100,0.736225626740947,logistic,30,constant,0.0001,1,8,adam
6,100,0.06788919839059115,logistic,30,constant,0.0001,1,1024,lbfgs
7,100,0.4718539151965335,logistic,300,constant,0.0001,1,8,lbfgs
8,100,0.9103884246363355,logistic,300,constant,0.0001,1,8,adam
9,100,0.06788919839059115,logistic,300,constant,0.0001,1,1024,lbfgs
10,100,0.13633240482822662,logistic,300,constant,0.0001,1,1024,adam
