config_id,budget,performance,activation,batch_size,learning_rate,learning_rate_init,n_layer,n_neurons,solver
0,100,0.4718539151965335,logistic,30,constant,1.0,1,8,lbfgs
1,100,0.8909424326833798,logistic,30,constant,1.0,1,8,adam
2,100,0.8825642216032188,logistic,30,constant,1.0,1,8,sgd
3,100,0.07679975239863823,logistic,30,constant,1.0,1,94,lbfgs
4,100,0.13969204580625194,logistic,30,constant,1.0,1,41,lbfgs
5,100,0.1474682760755185,logistic,30,constant,1.0,1,31,lbfgs
6,100,0.14857474466109566,logistic,30,constant,1.0,1,30,lbfgs
7,100,0.16973073351903456,logistic,30,constant,1.0,1,27,lbfgs
8,100,0.15025224388734149,logistic,30,constant,1.0,1,25,lbfgs
9,100,0.16805323429278862,logistic,30,constant,1.0,1,24,lbfgs
10,100,0.1841798204890127,logistic,30,constant,1.0,1,22,lbfgs
11,100,0.19922005571030643,logistic,30,constant,1.0,1,20,lbfgs
12,100,0.20256886412875263,logistic,30,constant,1.0,1,19,lbfgs
13,100,0.2214887031878675,logistic,30,constant,1.0,1,18,lbfgs
14,100,0.3272160321881771,logistic,30,constant,1.0,1,17,lbfgs
15,100,0.4151330857319715,logistic,30,constant,1.0,1,16,lbfgs
16,100,0.3238641287527082,logistic,30,constant,1.0,1,15,lbfgs
17,100,0.26488703187867535,logistic,30,constant,1.0,1,14,lbfgs
18,100,0.3494722995976478,logistic,30,constant,1.0,1,13,lbfgs
19,100,0.33770968740328067,logistic,30,constant,1.0,1,12,lbfgs
20,100,0.48362116991643456,logistic,30,constant,1.0,1,11,lbfgs
21,100,0.37058650572578145,logistic,30,constant,1.0,1,10,lbfgs
22,100,0.6677592076756422,logistic,30,constant,1.0,1,9,lbfgs
23,100,0.9132033426183844,logistic,30,constant,1.0,5,8,lbfgs
24,100,0.8547616836892603,logistic,30,constant,1.0,4,8,lbfgs
25,100,0.866412875270814,logistic,30,constant,1.0,3,8,lbfgs
26,100,0.5999056019808109,logistic,30,constant,1.0,2,8,lbfgs
27,100,0.4718539151965335,logistic,30,constant,0.615848211066,1,8,lbfgs
28,100,0.4718539151965335,logistic,30,constant,0.3792690190732,1,8,lbfgs
29,100,0.4718539151965335,logistic,30,constant,0.233572146909,1,8,lbfgs
30,100,0.4718539151965335,logistic,30,constant,0.1438449888288,1,8,lbfgs
31,100,0.4718539151965335,logistic,30,constant,0.088586679041,1,8,lbfgs
32,100,0.4718539151965335,logistic,30,constant,0.0545559478117,1,8,lbfgs
33,100,0.4718539151965335,logistic,30,constant,0.0335981828628,1,8,lbfgs
34,100,0.4718539151965335,logistic,30,constant,0.0206913808111,1,8,lbfgs
35,100,0.4718539151965335,logistic,30,constant,0.012742749857,1,8,lbfgs
36,100,0.4718539151965335,logistic,30,constant,0.0078475997035,1,8,lbfgs
37,100,0.4718539151965335,logistic,30,constant,0.0048329302386,1,8,lbfgs
38,100,0.4718539151965335,logistic,30,constant,0.0029763514416,1,8,lbfgs
39,100,0.4718539151965335,logistic,30,constant,0.0018329807108,1,8,lbfgs
40,100,0.4718539151965335,logistic,30,constant,0.0011288378917,1,8,lbfgs
41,100,0.4718539151965335,logistic,30,constant,0.0006951927962,1,8,lbfgs
42,100,0.4718539151965335,logistic,30,constant,0.0004281332399,1,8,lbfgs
43,100,0.4718539151965335,logistic,30,constant,0.0002636650899,1,8,lbfgs
44,100,0.4718539151965335,logistic,30,constant,0.0001623776739,1,8,lbfgs
45,100,0.4718539151965335,logistic,30,constant,0.0001,1,8,lbfgs
46,100,0.4718539151965335,logistic,30,adaptive,1.0,1,8,lbfgs
47,100,0.4718539151965335,logistic,30,invscaling,1.0,1,8,lbfgs
48,100,0.4718539151965335,logistic,69,constant,1.0,1,8,lbfgs
49,100,0.4718539151965335,logistic,67,constant,1.0,1,8,lbfgs
50,100,0.4718539151965335,logistic,66,constant,1.0,1,8,lbfgs
51,100,0.4718539151965335,logistic,65,constant,1.0,1,8,lbfgs
52,100,0.4718539151965335,logistic,64,constant,1.0,1,8,lbfgs
53,100,0.4718539151965335,logistic,60,constant,1.0,1,8,lbfgs
54,100,0.4718539151965335,logistic,57,constant,1.0,1,8,lbfgs
55,100,0.4718539151965335,logistic,55,constant,1.0,1,8,lbfgs
56,100,0.4718539151965335,logistic,54,constant,1.0,1,8,lbfgs
57,100,0.4718539151965335,logistic,51,constant,1.0,1,8,lbfgs
58,100,0.4718539151965335,logistic,50,constant,1.0,1,8,lbfgs
59,100,0.4718539151965335,logistic,48,constant,1.0,1,8,lbfgs
60,100,0.4718539151965335,logistic,44,constant,1.0,1,8,lbfgs
61,100,0.4718539151965335,logistic,43,constant,1.0,1,8,lbfgs
62,100,0.4718539151965335,logistic,42,constant,1.0,1,8,lbfgs
63,100,0.4718539151965335,logistic,39,constant,1.0,1,8,lbfgs
64,100,0.4718539151965335,logistic,37,constant,1.0,1,8,lbfgs
65,100,0.4718539151965335,logistic,34,constant,1.0,1,8,lbfgs
66,100,0.4718539151965335,logistic,33,constant,1.0,1,8,lbfgs
67,100,0.4718539151965335,logistic,31,constant,1.0,1,8,lbfgs
68,100,0.7267579696688331,relu,30,constant,1.0,1,8,lbfgs
69,100,0.5269916434540389,tanh,30,constant,1.0,1,8,lbfgs
